original_question,stem_only,with_options,changed
What do you think is an important factor for career advancement?,Unmapped,Unmapped,
"When thinking about career advancement, what is your stance on networking and socializing outside of working hours?",Trusting,Unmapped,YES
What is your stance on celebrating small team victories during work hours?,Scheduling,Unmapped,YES
"What is your stance on incorporating fun activities in the workplace (team-building activities, retreats, parties)?",Unmapped,Unmapped,
What the most popular opinion in your country on the automation of jobs by artificial intelligence?,Unmapped,Unmapped,
How would you describe the atmosphere in your workplace?,Unmapped,Unmapped,
Do you endorse investing in high-tech devices and software with the primary intention of enhancing employees' satisfaction?,Unmapped,Unmapped,
How do you perceive the balance between personal life and career advancement?,Unmapped,Unmapped,
How do you feel about technological tools that promote recreational activities against those that improve efficiency in work or daily tasks?,Unmapped,Unmapped,
How do you assess the role of group projects and collaborative learning in the internship and training programs?,Unmapped,Unmapped,
How does technological innovation and device usage affect your daily routines and tasks?,Unmapped,Unmapped,
What is your perspective on the balance between work and personal development in view of career advancement?,Unmapped,Unmapped,
How do you perceive the concept of working overtime regularly?,Unmapped,Unmapped,
"When faced with tasks in your technical education, how do you approach problem solving?",Unmapped,Unmapped,
How do you feel about celebrating team members' personal milestones (like birthdays and anniversaries) during work hours?,Unmapped,Unmapped,
What value do you think organizations should uphold more in the workplace for career advancement?,Unmapped,Unmapped,
How do you imagine the ideal office environment regarding interpersonal relationships and career advancement?,Leading,Unmapped,YES
How do you view the notion of delegated responsibility within a professional setting?,Leading,Unmapped,YES
How acceptable is it for employees to express their personal feelings or emotions in the workplace?,Disagreeing,Unmapped,YES
How would you react if your job required frequent long business trips keeping you away from your family for extended periods?,Unmapped,Unmapped,
"What is your stance on businesses using technology to create more flexible work hours, promoting work-life blend?",Scheduling,Unmapped,YES
What is your attitude towards integrating cutting-edge technological gadgets as a part of employee perks?,Unmapped,Unmapped,
What do you believe plays a significant role in achieving professional success?,Unmapped,Unmapped,
Do you consider casual conversations and friendly relationships necessary in a professional environment?,Trusting,Unmapped,YES
Do you think encouraging personal expression and creativity in a professional setting compromises or enhances ethics?,Unmapped,Unmapped,
"How do you regard the implementation of creative, less structured projects in your technical education?",Unmapped,Unmapped,
How do you approach challenging tasks at work?,Unmapped,Unmapped,
How often do you participate in social events or hobbies unrelated to your job during the workweek?,Trusting,Unmapped,YES
How do you view social bonding activities within the team?,Trusting,Unmapped,YES
How do you envision your interactions with coworkers socially?,Trusting,Unmapped,YES
Do you believe that businesses should invest in entertainment technologies (E.g. VR Gaming) for employee break times?,Unmapped,Unmapped,
Do you believe it's appropriate to use work time for leisure activities to boost employee morale?,Unmapped,Unmapped,
Do you think work-related decisions should be influenced by employee relations and friendships?,Deciding,Trusting,YES
"How would you react to the integration of AI technologies in daily tasks such as shopping, commuting etc.?",Unmapped,Unmapped,
"On the weekdays, are you more likely to dine with colleagues after work or return home directly?",Unmapped,Unmapped,
"Should companies provide employees with technologies that allow personal customization (E.g. choice of software tools, hardware), even if it may slightly impact conformity and uniformity?",Leading,Unmapped,YES
How would you best describe the ideal workspace atmosphere?,Unmapped,Unmapped,
What is your view on professional development in a company?,Unmapped,Unmapped,
How should organizations approach the adoption of emerging technologies?,Unmapped,Unmapped,
Is the focus of training your employees to foster adaptability for future unknown scenarios or competence for known immediate tasks?,Persuading,Unmapped,YES
Think about the aspect of maintaining your business's incumbent technology with minor short-term upgrades versus risking a full technological overhaul. What's your stance?,Unmapped,Unmapped,
"If you had to choose, would you sacrifice your current job satisfaction for future growth?",Unmapped,Unmapped,
"In your culture, how often do people invest in non-immediate but long-term educational/training projects, such as learning a new language or studying philosophy?",Unmapped,Unmapped,
"What is the value of education in your culture, is it seen as a stepping stone to lifelong learning even after securing a job, or a immediate need for securing a job?",Unmapped,Unmapped,
"When considering a new job opportunity, what's more important?",Unmapped,Unmapped,
"In your view, how should a leader handle the employees' training and advancement?",Leading,Unmapped,YES
"When you think about your job, what's more important to you?",Unmapped,Unmapped,
"In pursuit of technological innovation, which of the following best describes your organization's attitude towards funding and resources?",Unmapped,Unmapped,
How would you approach implementing a cutting-edge technology in your business that might not bring immediate profit benefits but has potential for significant long-term gains?,Unmapped,Unmapped,
What's your stand on investing in education or skills training for your future career?,Unmapped,Unmapped,
How would you prefer your career development to progress?,Unmapped,Unmapped,
How should a husband and wife approach their career goals in relation to their family life?,Unmapped,Unmapped,
How do you perceive changes or shifts in your team's strategy or plan?,Unmapped,Unmapped,
"When faced with an issue in a team project, do you prefer to come up with solutions that address the immediate problems or those that might prevent similar issues in the future?",Unmapped,Unmapped,
What keeps you motivated in your current job?,Unmapped,Unmapped,
"Would you support the development of automation technologies that may cause job displacement in the short run, but promises greater economic productivity in the long run?",Unmapped,Unmapped,
"Do you believe in adopting blockchain technology to enhance data security in your business, despite the time and efforts required for implementation and less immediate impact on your profitability?",Unmapped,Unmapped,
How would you approach a project with a distant deadline at work?,Scheduling,Scheduling,
What strategy would you adopt when establishing new relationships within your team?,Trusting,Unmapped,YES
"When planning for a team project, how far into the future do you typically look?",Unmapped,Unmapped,
"In a teamwork scenario, would you rather adopt a strategy that guarantees short-term success but could be risky in the long run, or a safer strategy which may not show results immediately but is sustainable in the long run?",Unmapped,Unmapped,
How does your job fit into your life goals?,Unmapped,Unmapped,
How much importance do you place on planning for your career advancement in the coming years?,Unmapped,Unmapped,
How do you perceive your current career progression?,Unmapped,Unmapped,
Do you consider long-term job satisfaction and working conditions more important than immediate job perks and social recognition at a workplace?,Unmapped,Unmapped,
"In terms of career progression, do you value stability or novelty more?",Unmapped,Unmapped,
Would you relocate your family to a different city or possibly a different country for a better career opportunity that might benefit your family in the long run?,Unmapped,Unmapped,
"Supposing your company has come across a technology that may disrupt the market in the next decade, but the current market isn't ready for it yet, what would be your choice?",Unmapped,Unmapped,
"When it comes to a promotion, you:",Unmapped,Unmapped,
How do you prioritize your tasks at work?,Scheduling,Unmapped,YES
"In an art careers or businesses, what kind of projects do you prefer?",Unmapped,Unmapped,
"Regarding career choices, how are decisions usually made within a marriage?",Deciding,Unmapped,YES
"Would you prioritize investing in a new software technology that will increase efficiency over the long term, but carry a high initial expenditure and learning curve for your employees?",Deciding,Unmapped,YES
"When faced with a new work project, what is your initial approach?",Persuading,Unmapped,YES
What drives your decision to continue working in your current job?,Unmapped,Unmapped,
Consider you are assigned to a team that is not performing well. How would you approach this situation?,Leading,Unmapped,YES
Should resources be allocated to research and development of technologies projected to be advantageous only after a significant period of time?,Unmapped,Unmapped,
"When considering new job opportunities, what is your primary focus?",Unmapped,Unmapped,
How do you perceive the role of educational institutions - primarily as a provider of immediate job opportunities or a nurturer of individuals for lifelong success?,Unmapped,Unmapped,
How should a leader balance with immediate profitability and long-term growth?,Leading,Unmapped,YES
"In your culture, how is career planning shared between husband and wife?",Unmapped,Unmapped,
How do you perceive failures in your professional life?,Evaluating,Unmapped,YES
How do you prioritize tasks when multiple projects are assigned at once?,Scheduling,Unmapped,YES
What does job satisfaction mean to you?,Unmapped,Unmapped,
How do you measure the success of team performance in your career?,Unmapped,Unmapped,
How do you perceive the importance of forecasting and analysis in strategizing your professional decisions?,Persuading,Unmapped,YES
"How would you approach a new, complex project that requires teamwork?",Leading,Unmapped,YES
"Suppose your organization has the opportunity to invest in a revolutionary technology that may, however, not show returns for a few years. What would you do?",Deciding,Unmapped,YES
How should a leader approach innovation in the workplace?,Leading,Unmapped,YES
What characteristic makes a leader more effective in a work environment?,Leading,Unmapped,YES
How do you perceive lifelong learning and improvement in your professional life?,Unmapped,Unmapped,
What should a leader prioritize while setting targets for the team?,Leading,Unmapped,YES
How should the success of a leader be measured?,Evaluating,Unmapped,YES
How do you prioritize tasks at your job?,Unmapped,Unmapped,
"Are parent in …... inclined to guide your children towards professions that promise a sustainable future even if it takes a long time, or encourage them to pursue careers that provide instant income but might not promise a lasting future?",Unmapped,Unmapped,
Would you put off getting a job immediately after graduation if it meant gaining more education that could benefit you in the long-term?,Unmapped,Unmapped,
How would you describe your preferred leadership style in relation to decision making?,Leading,Unmapped,YES
"According to  ...[nationality]…, should an education system focus on building character traits to face future challenges or securing immediate qualifications for the job market?",Unmapped,Unmapped,
How important is the notion of time in a leadership position?,Scheduling,Unmapped,YES
What is your standpoint on risk and experimentation in professional life?,Unmapped,Unmapped,
"If a new technology could potentially automate a big portion of your business but displace some jobs in the short-term, what would be your approach?",Unmapped,Unmapped,
How would you define success in your professional life?,Unmapped,Unmapped,
What do you think is a leader's responsibility towards the company culture?,Leading,Unmapped,YES
What is your perspective on workplace changes?,Unmapped,Unmapped,
"Regarding promotions, what is your perspective?",Unmapped,Unmapped,
How would you handle a situation where applying new technologies could lead to significant changes in your business model?,Unmapped,Unmapped,
What do you believe is more impactful in a leadership role?,Leading,Unmapped,YES
"Would you consider using a new digital platform that might initially require more effort to learn, but could significantly streamline your daily tasks in the long run?",Unmapped,Unmapped,
"If your organization undertakes a major technological innovation project, what would you expect?",Unmapped,Unmapped,
How do you approach the challenge in your job?,Unmapped,Unmapped,
What comes to mind when you think about career advancement?,Unmapped,Unmapped,
What do you think about their child's retirement plan right from their first job in …[country]...?,Unmapped,Unmapped,
How do you understand the role of patience in teamwork in your career?,Unmapped,Unmapped,
"If your team encounters a problem, how would you prefer to handle it?",Leading,Unmapped,YES
How should a leader consider company's resources while strategizing?,Leading,Unmapped,YES
How do you approach professional challenges that require substantial overhaul in your workflow?,Persuading,Unmapped,YES
Which is more important in your job?,Unmapped,Unmapped,
"Do …[nationality]... prefer education to cultivate broad knowledge with potential for future benefits, or specialized skills for immediate job opportunities?",Persuading,Unmapped,YES
What measures your success in your career?,Unmapped,Unmapped,
"Would you consider accepting a job that requires extensive travel and longer work hours, but promises career advancement and a higher pay scale in the future?",Unmapped,Unmapped,
Would you support funding for a project that could result in a revolutionary technological innovation but will take 15 years for fruition?,Unmapped,Unmapped,
What is your approach towards innovation and change in the workplace?,Unmapped,Unmapped,
How do you usually handle work assignments or projects?,Scheduling,Scheduling,
How do you approach change in your professional life?,Unmapped,Unmapped,
How would you handle the professional development of your team members? Would you invest in their long-term growth or focus on improving their current skills?,Unmapped,Unmapped,
"In a crisis situation, how should a leader respond?",Leading,Unmapped,YES
"A new technology promises to revolutionize the business landscape in your industry in about a decade. Do you introduce this technology into your business now, even if it means sacrificing short-term profitability?",Unmapped,Unmapped,
"When working in a team, what kind of goals do you prioritize?",Unmapped,Unmapped,
What role should technology play in decision-making processes within a business?,Unmapped,Unmapped,
What characteristics should be prioritized when selecting educational administrators or school leaders?,Leading,Leading,
Who should lead technological innovation within an organization?,Leading,Unmapped,YES
"If you had to make a choice between taking up a promotion which involves more hours working and spending time with your family, which would you choose?",Unmapped,Unmapped,
How would you describe your ideal team project?,Unmapped,Unmapped,
"In the context of Occupational Health and Safety, what would be your approach if you were an employer?",Unmapped,Unmapped,
What do you view as the primary goal of education: preparing for a career or nurturing personal growth?,Unmapped,Unmapped,
"In a team project at work, how would you define success?",Unmapped,Unmapped,
"When facing challenges at work, what's more crucial for your team?",Unmapped,Unmapped,
"In terms of your job satisfaction, what is more important to you?",Unmapped,Unmapped,
"When contributing to a team, is it more important to prioritize one's own tasks or to support others with their tasks?",Leading,Unmapped,YES
Should technological innovation strive for fostering competition between different businesses or help create a more balanced work life experiencce?,Unmapped,Unmapped,
What's the main focus of your profession's leaders?,Leading,Unmapped,YES
How do you view the impact of technological innovation on your career?,Unmapped,Unmapped,
Which statement do you identify more with in the context of career progression?,Unmapped,Unmapped,
What do you believe is the role of technology in shaping organizational culture?,Unmapped,Unmapped,
What motivates you the most in pursuing career advancement?,Unmapped,Unmapped,
What is your preferred leadership style in a social setting?,Leading,Leading,
How do you measure job satisfaction?,Unmapped,Unmapped,
Which of the following represents your ideal work scenario for job satisfaction?,Unmapped,Unmapped,
How would you define success in your career?,Unmapped,Unmapped,
How do you perceive competitiveness in the workplace?,Unmapped,Unmapped,
What role does the family usually play during a member's job searching process?,Unmapped,Unmapped,
How do you view the role of family and personal life in the context of career growth?,Unmapped,Unmapped,
What's emphasized more in your workplace's leadership style?,Leading,Leading,
What value do you believe technological innovation should primarily bring to a business?,Unmapped,Unmapped,
"In pursuing professional success, to what extent would you be willing to compromise your family time?",Unmapped,Unmapped,
How do you perceive the idea of success in your career?,Unmapped,Unmapped,
What is your perspective on the potential risks and rewards of engaging with new technology in business?,Unmapped,Unmapped,
What do you associate with career advancement?,Unmapped,Unmapped,
Would you take a less demanding job with less pay if it meant more time with your family?,Unmapped,Unmapped,
How do you prefer to handle disputes or disagreements in a professional setting?,Disagreeing,Disagreeing,
How should a business prioritize technological advancements?,Unmapped,Unmapped,
"What would be your priority when assigning roles for the festival organization, if you are in the logistics business?",Leading,Unmapped,YES
Who generally makes career-related decisions in a family in consideration of overall financial stability?,Deciding,Leading,YES
How should conflicts be handled within a team focusing on technological innovation?,Disagreeing,Unmapped,YES
What style of communication does your employer typically use?,Communicating,Communicating,
How do you perceive the purpose of technology in business?,Unmapped,Unmapped,
What approach do your workplace leaders primarily use to motivate their teams?,Leading,Unmapped,YES
Which statement describes your outlook towards work and job satisfaction?,Unmapped,Unmapped,
What should be the main aim of a professional in any industry?,Unmapped,Unmapped,
What weighs more in your decision-making: achieving a professional goal or maintaining a harmonious family life?,Unmapped,Unmapped,
What's your view on feedback within the team?,Evaluating,Evaluating,
"Given a choice, would you prefer business technology to be aggressive or nurturing?",Unmapped,Unmapped,
"When facing an important career decision, what's your primary concern?",Unmapped,Unmapped,
"In your opinion, what is the key driver to excel in a job?",Unmapped,Unmapped,
What metric should be used to gauge the success of technological innovation in a business?,Unmapped,Unmapped,
What motivates you most in your career?,Unmapped,Unmapped,
To what extent do you align with the following statement - 'Working overtime regularly is the key to success in a career'?,Unmapped,Unmapped,
"When evaluating interns or trainees, should emphasis be placed on individual task completion or collective problem-solving?",Deciding,Unmapped,YES
What motivates you the most to improve job satisfaction?,Unmapped,Unmapped,
What do you think is the most important: your job satisfaction or your family's happiness?,Unmapped,Unmapped,
What kind of changes do you expect technology to bring within a business environment?,Unmapped,Unmapped,
What approach do you prefer when it comes to group tasks?,Leading,Unmapped,YES
"What’s more important in a team, competency or cordial interpersonal relationships?",Trusting,Unmapped,YES
"What, if any, is the role of the leader in your preferred work setting?",Leading,Leading,
How would parents in …[country]... react if their child wants to choose an unconventional career path?,Unmapped,Unmapped,
How do you define competitiveness within the workplace?,Unmapped,Unmapped,
"In professional situations, what's more important to you?",Unmapped,Unmapped,
What would motivate you more to persevere in your job?,Unmapped,Unmapped,
"In team decision-making, what carries more weight for you?",Deciding,Deciding,
"In technical team projects, what’s more important?",Unmapped,Unmapped,
"Do you believe technology should primarily facilitate competition (e.g., better market share, business profits) or promote better lifestyle (e.g., well-being, home management)?",Unmapped,Unmapped,
"In your opinion, what should be the key focus when integrating new technology in business?",Unmapped,Unmapped,
How do you define a good leader in your workplace?,Leading,Leading,
What’s more important in your career?,Unmapped,Unmapped,
What strategy does your workplace adopt towards risk and novelty?,Unmapped,Unmapped,
How does your society perceive the purpose of a career?,Unmapped,Unmapped,
Which do you find more important in regards to technological innovation in business?,Unmapped,Unmapped,
"In a teamwork context, would you prefer to have a decisive leader or consensus decision making?",Deciding,Deciding,
What is the preferred method of making decisions within your organization?,Deciding,Deciding,
"Concerning your job satisfaction, would you prefer:",Unmapped,Unmapped,
"In a team meeting, do you think it is more effective to be goal-oriented and direct, or to be considerate and empathetic?",Communicating,Unmapped,YES
How are tasks typically delegated within your work environment?,Leading,Leading,
What do you believe is the best strategy for career development?,Unmapped,Trusting,YES
"In a professional healthcare setting, what should be the primary focus?",Unmapped,Unmapped,
Do you believe technology should continue to focus on increasing competitive advantage in business or shifting towards enhancement of interpersonal relationships and communication?,Unmapped,Unmapped,
How do you feel about regular employees proposing radical innovations?,Leading,Leading,
"In your view, how significant should the influence of superiors be in shaping or determining the professional ethics of a workplace?",Leading,Leading,
"In your opinion, what is more important when choosing a medical professional?",Trusting,Leading,YES
To what extent should medical professionals be allowed to make health decisions on behalf of patients in …[country]...?,Deciding,Leading,YES
"When visiting an art exhibition, how should decision making about the organization of artwork be done?",Deciding,Deciding,
How do you perceive the role of a leader in promoting employees' career growth?,Leading,Leading,
"What would you do if a person with less experience, but higher official position, is given a promotion you were expecting?",Leading,Leading,
"Should everyone on a team have the opportunity to lead a project, or should this remain with a designated project manager?",Leading,Leading,
Do you believe that the hierarchy of power within a professional environment is necessary for overall success?,Leading,Leading,
How should roles be assigned for the organization of the Cultural Festival?,Deciding,Unmapped,YES
What is your outlook regarding the responsibility and tasks distribution among the team members?,Leading,Deciding,YES
"When launching a technological innovation, how should the company communicate changes to its employees?",Communicating,Deciding,YES
To what extent do you believe lower-ranking employees should participate in decisions that affect their work-family balance?,Deciding,Unmapped,YES
How should disputes with superiors over career advancement be handled?,Disagreeing,Disagreeing,
How should conflicts on technological innovations be resolved within the organization?,Disagreeing,Deciding,YES
"In organizations, how important is it for subordinates to demonstrate deference to their superiors?",Leading,Leading,
Do you believe that the leaders of the artistic (business) community should dictate what is considered quality in terms of art and entertainment?,Leading,Deciding,YES
How do you feel about the hierarchy structure in your workspace?,Leading,Leading,
"In your organization, who would you see as the most appropriate to introduce and advocate for a new technology?",Unmapped,Leading,YES
Do you think that promotions within a professional situation should be based on seniority?,Leading,Unmapped,YES
How would you react if a major decision was made in your organization without much consultation with the employees?,Deciding,Deciding,
"How should important life decisions, such as career or educational paths, be made within the family?",Unmapped,Unmapped,
How do you perceive the management style at your workplace?,Leading,Leading,
How would you describe your acceptance of authority in your job and deference to your manager's decisions?,Leading,Leading,
Do you agree that technological innovation should always be guided and controlled by experienced leaders in order to guarantee its success?,Leading,Unmapped,YES
How important is it for you to understand your superior's thought process when they make a decision about your career?,Trusting,Leading,YES
How should decisions be made in a team?,Deciding,Deciding,
Should the decision to adopt a new technology in your business be made solely by higher management or should it involve employees as well?,Deciding,Deciding,
How do you feel when an established traditional arts company decides to innovate their art form significantly?,Unmapped,Unmapped,
Who do you think should decide whether a new technology is useful or not for the organization?,Deciding,Deciding,
"When it comes to understanding the news, do you rely on established media and professionals or gather information and make decisions on your own?",Unmapped,Unmapped,
How do you perceive the role of a manager in your potential workplace?,Leading,Leading,
How should decisions on implementation of technological advancements in your organization be made?,Deciding,Deciding,
"How are discussions about future plans, such as college or career choices, handled in your family?",Disagreeing,Leading,YES
How do you perceive the distribution of responsibilities within a team?,Leading,Leading,
Do you feel comfortable voicing your opinion on the company’s strategy to a superior?,Disagreeing,Leading,YES
Should individuals lower in the professional hierarchy be excluded from decision making processes?,Leading,Deciding,YES
What do you believe is the most effective way to achieve career advancement?,Unmapped,Unmapped,
How should the flow of information in an organization be structured?,Communicating,Leading,YES
"In your experience, to what extent should a good leader control the work of employees?",Leading,Leading,
To what extent do you agree with the assertion that leaders in an organization should have the exclusive authority to make decisions?,Deciding,Deciding,
How do you regard the role of a manager in teamwork?,Leading,Leading,
To what extent do you agree with the statement: 'Seniors should oversee and guide all of the junior's/intern's work assignments'?,Leading,Leading,
"If there's an issue with implementing a new technology, do you think it's right for the upper management to handle the problem without involving the lower level employees?",Deciding,Deciding,
Which statement best describes your opinion on decision-making in a professional setting?,Deciding,Deciding,
Who usually decides on the career paths for young adults in your family?,Unmapped,Leading,YES
"If a staff member feels that their position in the organization does not reflect their abilities, how should they approach the situation?",Unmapped,Unmapped,
How much impact do you believe your job title or position should have on the respect you receive in the workplace?,Leading,Leading,
"If a new technology is being adopted in your organization, who do you believe should have the onus of learning and adapting first?",Leading,Unmapped,YES
"When a new technology is introduced in the business, who should be trained on how to use it first?",Leading,Unmapped,YES
