row_id;question;pole_1;pole_2;model_dimension;rule_applied;notes
r3_22;How should conflicts be resolved in the workplace?;Conflicts should be viewed as competition and should be resolved by those involved through direct confrontation.;Conflicts should be viewed as disturbances to group harmony and should be resolved collectively, ensuring minimal disruption to the group.;Disagreeing;direct;Confrontation vs harmony. Collective-resolution wording touches Deciding but conflict tolerance is the axis.
r3_23;What do you believe is the most effective way to achieve career advancement?;Primarily through demonstrating loyalty and dedication to superiors and the organization.;Primarily through demonstrating individual skills, innovative ideas, and work performance.;Unmapped;G1;Loyalty vs merit = performance orientation.
r3_24;How does your society perceive the purpose of a career?;A career is seen as a path towards personal fulfillment, societal contribution and balanced living.;A career is considered a means to achieve financial stability, personal success, and societal respect.;Unmapped;G1;Performance orientation / work-life balance.
r3_25;In pursuing professional success, to what extent would you be willing to compromise your family time?;I'm willing to compromise considerably. My career and financial progression is crucial.;I would try to strike a balance. Quality family time and fostering strong relationships are essential for me.;Unmapped;G1;Family vs career.
r3_26;What is the preferred method of making decisions within your organization?;Decisions are made collectively after discussion and consensus to maintain team's unity and harmony.;Decisions are centrally made by a leader or a group of key individuals based on their perceived expertise or authority.;Deciding;G6;Consensual vs top-down dominant
r3_27;What do you view as the primary goal of education: preparing for a career or nurturing personal growth?;The primary goal of education ought to be the nurturing of personal growth.;The primary goal of education should be to prepare students for a successful career.;Unmapped;G1;Performance orientation / long-term orientation.
r3_28;How should rewards for successful technological innovation be distributed in the organization?;Leadership should primarily receive the credit as they guide the overall strategy and implementation.;Everyone involved should share the credit, regardless of their hierarchical position.;Leading;direct;Credit allocated by hierarchical position = power distance.
r3_29;When thinking about career advancement, what is your stance on networking and socializing outside of working hours?;Informal networking and socializing are key strategies for building relationships, exploring new ideas, and furthering career opportunities.;Networking should be focused primarily within working hours to maintain a strict separation between the personal life and professional responsibilities.;Trusting;direct;Relationship-based trust built outside work hours vs strict task-based separation. Borderline: work-life boundary component.
r3_30;What value do you think organizations should uphold more in the workplace for career advancement?;Encouragement for employees to pursue their passions even during work hours with the belief this can fuel creativity and result in better outcomes.;Strict enforcement of discipline, prioritizing rigorous work schedules, and limiting recreational activities during working hours.;Unmapped;G1;Discipline/indulgence. G2: 'rigorous work schedules' is not time-as-tangible.
r3_31;How do you feel when an established traditional arts company decides to innovate their art form significantly?;I would support it unconditionally as their status in the community is a guarantee of quality.;I would be cautious and critique the changes, believing that everyone's opinion matters in preserving the authenticity of traditional arts.;Leading;direct;Deference to elite status. Confounded: pole 2 also carries attitude to innovation (G1).
r3_32;How do you regard the role of a manager in teamwork?;I view a manager as someone who should make key decisions, giving clear instructions to members.;I see a manager as a facilitator, who encourages discourse and collective decision-making.;Deciding;G6;Manager decides vs collective decision-making dominant
r3_33;How do you imagine the ideal office environment regarding interpersonal relationships and career advancement?;An office where employees are encouraged to socialize, express themselves freely and engage in enjoyable activities facilitates creativity and productivity.;An environment that encourages formal relations and limit interruptions enable maximum focus on immediate tasks and work-related issues.;Trusting;direct;Social vs formal task-only relations. 'Limit interruptions' flirts with Scheduling but the axis is task vs relationship.
r3_34;What’s more important in a team, competency or cordial interpersonal relationships?;Cordial interpersonal relationships, as it helps in maintaining a harmonious work environment.;Competency, as it drives the team's ability to accomplish goals.;Trusting;direct;Competence vs cordial relationships = task-based vs relationship-based.
r3_35;How do you perceive lifelong learning and improvement in your professional life?;I find immediate skills and knowledge enough to get my current job done.;I believe it is necessary to continually learn and grow to ensure a sustainable career in the future.;Unmapped;G1;Long-term orientation. G2.
r3_36;In your view, how significant should the influence of superiors be in shaping or determining the professional ethics of a workplace?;Highly significant. Leaders have the necessary experience and wisdom to set professional ethics.;The professional ethics should be collaboratively established, everyone's input is equally important.;Leading;direct;Whether superiors' status entitles them to set norms = power distance.
r3_37;What is your attitude towards integrating cutting-edge technological gadgets as a part of employee perks?;I believe it's a good idea, as it can promote a sense of satisfaction and indulgence among employees.;I am apprehensive, as it could potentially divert attention away from work tasks.;Unmapped;G1;Attitude to technology / indulgence.
r3_38;How do you perceive the distribution of responsibilities within a team?;Responsibilities should be distributed based on the rank of team members with higher rank individuals bearing more.;Responsibilities should be equally distributed, encouraging equal participation from all team members, regardless of position.;Leading;direct;Responsibility allocated by rank = power distance.
r3_39;Do you prefer to engage in learning new things outside their professional or academic interest just for fun or enjoyment?;Not usually, if I'm learning something new, it's likely related to my academic or career goals.;Yes, I often seek out new learning opportunities for personal fulfillment and pleasure.;Unmapped;G1;Indulgence / long-term orientation.
r3_40;What role should technology play in decision-making processes within a business?;Technology should pave the way for open dialogues and consensus building, fostering cooperation amongst team members.;Technology should provide comprehensive data and analytics to aid in competitive, results-oriented decisions.;Unmapped;G1;Pole 1 says 'consensus' but pole 2 is competitiveness/results, not top-down. No clean Meyer axis.
r3_41;Should a company promote and facilitate social interactions among employees via technology (E.g. social media platforms, team-building software) or prioritize task efficiency?;Promote social interactions, it improves interpersonal relationships and creates a harmonious environment.;Prioritize task efficiency, socializing should be spontaneous, not facilitated by the company.;Trusting;direct;Company-facilitated relationships vs task efficiency. Borderline
r3_42;In the context of Occupational Health and Safety, what would be your approach if you were an employer?;I would frequently communicate and involve employees in health and safety discussions, creating a more inclusive and caring workplace environment.;I would invest in technology or equipment upgrades to improve workplace efficiency and reduce risk.;Unmapped;G1;People-oriented vs technology-oriented safety approach. No Meyer axis.
r3_43;In a teamwork context, would you prefer to have a decisive leader or consensus decision making?;Decisive leader, because it is more efficient and will lead to quicker decisions and results.;Consensus decision making, because everyone's opinion is considered and it fosters an inclusive environment.;Deciding;direct;Decisive leader vs consensus = top-down vs consensual.
r3_44;When given a choice between working overtime to complete a project and leaving work earlier to attend a family event, which option would align more with your cultural values?;I would choose to work overtime to complete the project as meeting work deadlines is a matter of discipline and commitment.;I would choose to leave work earlier to attend the family event because personal connections and relaxation are equally important as work.;Unmapped;G1;Work-life balance. G2 trap: 'deadlines' appears but the axis is work vs family, not linear vs flexible time.
r3_45;How do you define competitiveness within the workplace?;It is about striving to be the best and winning over others.;It means cooperatively working together to achieve a common goal.;Unmapped;G1;Competitiveness vs cooperativeness.
r3_46;How much impact do you believe your job title or position should have on the respect you receive in the workplace?;Respect should be mutual and not bound by job titles or positions. Competence and integrity should be the defining factors.;In my opinion, higher positions should naturally command more respect due to greater responsibility and experience.;Leading;direct;Titles and status as a basis for respect = power distance.
r3_47;What is your preferred leadership style in a social setting?;Assertive and result-oriented, prioritizing the completion of the task at hand.;Cooperative and consensus-oriented, valuing each team member's opinion.;Unmapped;G1;'Consensus-oriented' tempts Deciding, but the opposing pole is assertiveness/results, not top-down. Confounded.
r3_48;In your experience, to what extent should a good leader control the work of employees?;A good leader should trust the employees' skills and rely on their self-management.;A good leader should maintain strong control to ensure that the work is done properly.;Leading;direct;Managerial control vs employee autonomy = power distance.
r3_49;What would be your priority when assigning roles for the festival organization, if you are in the logistics business?;Designating roles based on building relationships and effective cooperation.;Appointing individuals based on their ability to deliver results and tackle challenges effectively.;Trusting;direct;Roles assigned on relationships vs on ability to deliver = relationship- vs task-based. Borderline with performance orientation.
r3_50;How would you describe your preferred leadership style in relation to decision making?;Makes quick decisions that solve immediate challenges, ensuring efficiency and quick results in the short term.;Invests time in extensive analysis and forecasting for decisions that benefit the organization in the long term.;Unmapped;G1;Short-term vs long-term orientation. G2.
r3_51;What is your opinion on competition within a professional setting?;Competition is good. It pushes individuals to be their best and fosters innovation and growth.;Competition can disrupt team unity. Cooperation should be prioritized to foster a harmonious work environment.;Unmapped;G1;Competitiveness vs cooperativeness.
r3_52;What's your view on feedback within the team?;Feedback should be direct and clear, focusing only on the task or job performance.;Feedback should be delivered in a manner that maintains harmony and respect in the interpersonal relationships of the team.;Evaluating;direct;Direct/frank vs harmony-preserving feedback delivery. G5 caveat: the item says 'feedback', not explicitly negative
r3_53;How important is the notion of time in a leadership position?;It’s essential to invest time in laying solid bases to reap benefits in the long-run.;It's critical to take advantage of immediate opportunities and generate immediate gains.;Unmapped;G1;G2, textbook case: says 'notion of time' but contrasts long-run investment vs immediate gains. Long-term orientation.
r3_54;When visiting an art exhibition, how should decision making about the organization of artwork be done?;The curator should decide the arrangement as they have the expertise and understanding of the intended message.;The decisions should be community-driven, with visitors' suggestions and preferences taken into consideration.;Deciding;G6;Expert/curator decides vs community-driven decision. Leading secondary.
r3_55;How do you measure job satisfaction?;By the levels of accomplishment and recognition obtained.;By the level of personal relationships and nurturing environment.;Unmapped;G1;Sources of job satisfaction = performance orientation vs humane orientation.
r3_56;How do you perceive the purpose of technology in business?;To facilitate team collaboration and improve the quality of interpersonal relationships at work.;To gain advantage over competitors and increase profitability.;Unmapped;G1;Attitude to technology + competitiveness.
r3_57;How should organizations approach the adoption of emerging technologies?;Organizations should proactively experiment with emerging technologies to stay prepared for future trends.;Organizations should stick to well-established technologies until new ones truly prove their worth.;Unmapped;G1;Uncertainty avoidance / attitude to innovation.
r3_58;What kind of leadership style do you think is more effective in a work environment?;A leadership style that emphasizes group decisions, teamwork, and shared responsibilities.;A leadership style that treats employees as independent entities capable of making their own decisions and taking personal responsibility for their actions.;Unmapped;G1;G3: group decisions vs individual autonomy. Pole 2 is not top-down, so no Deciding axis.
r3_59;Which situation would make you feel more satisfied in your job?;Having complete autonomy and providing input in making decisions related to their tasks.;Contributing in a group where decisions are made collectively.;Unmapped;G1;G3: individual autonomy vs group work, no authority or decision mechanism.
r3_60;How do you prioritize tasks when multiple projects are assigned at once?;I concentrate on completing tasks in the order of their immediate urgency and deadlines, focusing on quick output.;I organize tasks based on their long-term value and potential contribution to my career development.;Unmapped;G1;G2 trap: pole 1 mentions deadlines/urgency, but the contrast is immediate output vs long-term career value.
r3_61;How are discussions about future plans, such as college or career choices, handled in your family?;Parents encourage children to express their career interests and aspirations as part of the decision-making process.;Parents tend to make these important decisions believing that they know what's best for their children.;Deciding;G6;Authority decides alone vs those affected participate
r3_62;In organizations, how important is it for subordinates to demonstrate deference to their superiors?;While showing respect is important, subordinates should not hesitate to question and challenge their superior's decisions as needed.;It is of utmost importance that subordinates respect superiors and adhere to their commands without questioning.;Leading;G6;Deference to superiors dominant
r3_63;What strategy does your workplace adopt towards risk and novelty?;The leaders typically promote a cautious approach, ensuring consensus before adopting new methods, prioritizing security and stability.;The leaders generally encourage individual risk-taking and innovative approaches, prioritizing profitability and growth.;Unmapped;G1;Attitude to risk / innovation. 'Consensus' appears but is not the axis.
r3_64;How would you handle a situation where your personal work ethics conflict with your team's decision?;Align with their team's decision to maintain harmony and collective progress.;Stick with their personal beliefs and continue to follow their own ethics.;Unmapped;G1;Conformity to the group vs personal conviction = individualism/collectivism. Not Disagreeing: pole 2 is not open dissent.
r3_65;What approach do you prefer when it comes to group tasks?;Work collectively on tasks to ensure everyone understands and agrees on the processes.;Divide tasks based on individual's strengths and competencies.;Unmapped;G1;G3: collective work vs division of labour, no authority or decision mechanism.
r3_66;Scoring a great job opportunity abroad or taking care of your aging parents at home, which one is your prioritized choice?;I would choose the job opportunity, as it fosters my professional growth and personal achievement.;Caring for my aging parents is my top priority, as their wellbeing is fundamental to our family unity and harmony.;Unmapped;G1;Family vs career.
r3_67;According to  ...[nationality]…, should an education system focus on building character traits to face future challenges or securing immediate qualifications for the job market?;Focus on building values and character traits that would help individuals face a variety of future challenges.;Prioritize securing qualifications and skills that could be leveraged in the immediate job market.;Unmapped;G1;Long-term orientation. G2.
r3_68;How do you view competition with peers in your workplace?;Competition is healthy as it encourages personal growth and pushes me to strive towards career advancement.;I prefer to collaborate with my peers rather than compete, as it promotes a harmonious and collective growth environment.;Unmapped;G1;Competitiveness vs cooperativeness.
r3_69;How do you perceive your current career progression?;I am more concentrated on what satisfaction it brings me at this moment.;I am focusing on the skills and experience I am gaining, looking towards future benefits.;Unmapped;G1;Short-term vs long-term orientation. G2.
r3_70;If a new device makes your job easier but potentially eliminates jobs for others, would you use it?;No, I would not support anything that could harm job security for others.;Yes, personal productivity and efficiency is of utmost importance.;Unmapped;G1;Attitude to technology + individual gain vs collective welfare.
r3_71;What are your thoughts on informal meetings or team huddles during work hours?;Informal meetings can be refreshing and beneficial as they allow room for open communication and camaraderie.;Work hours should be strictly dedicated to formal work activities. Informal meetings can be a distraction.;Trusting;direct;Informal camaraderie vs formal task-only work. 'Distraction' wording flirts with Scheduling but the axis is task vs relationship.
r3_72;How do you perceive competitiveness in the workplace?;It can induce unnecessary stress and disturb the peace and cooperative atmosphere in the workplace.;It's a fundamental aspect of professional growth and a motivation to achieve higher ranks.;Unmapped;G1;Competitiveness vs cooperativeness.
r3_73;If there's an issue with implementing a new technology, do you think it's right for the upper management to handle the problem without involving the lower level employees?;No, every team member should be involved in solving technological problems as they also have valuable insights.;Yes, as they have a broader understanding of the business implications and complexities.;Deciding;G6;Top-down vs inclusive problem-solving
r3_74;How do you usually handle work assignments or projects?;I plan ahead, breaking down tasks and managing them over time to reduce stress and ensure high-quality results.;I prefer to work on tasks all at once, or closer to the deadline, focusing on meeting immediate targets.;Scheduling;direct;Genuine Scheduling: sequential planning over time vs many-at-once / last-minute. Linear vs flexible time.
r3_75;How do you perceive the initiative to implement automation technology in workplaces?;Worrisome! It can disrupt the traditional human-centered work model and could potentially lead to job displacement.;Encouraging! It allows us to spend less time on repetitive tasks, increasing productivity and leisure time.;Unmapped;G1;Attitude to technology / change.
r3_76;How do you envision your interactions with coworkers socially?;Maintaining a formal, business-only relationship to ensure complete focus on work.;Encouraging frequent socializing with coworkers for holistic personal and professional growth.;Trusting;direct;Business-only vs social relations with coworkers = task- vs relationship-based.
r3_77;Who do you think should decide whether a new technology is useful or not for the organization?;Only high-ranking decision-makers, as they have the overview and expertise to judge.;All members of the organization, since practical usefulness can best be evaluated by those directly affected.;Deciding;G6;High-ranking decision-makers vs all members
r3_78;How would you react if offered a promotion that would require more time away from home?;I would consider the implications to my family life first, as I believe in the importance of maintaining work-family balance.;I would accept it, as professional promotions contribute to my individual success.;Unmapped;G1;Work-life balance.
r3_79;When faced with an issue in a team project, do you prefer to come up with solutions that address the immediate problems or those that might prevent similar issues in the future?;I prefer to focus on solutions that solve the immediate issues at hand.;I would rather explore solutions that address the root of the problem to mitigate similar situations from happening in the future.;Unmapped;G1;Immediate fix vs root-cause prevention = short- vs long-term orientation. G2.
r3_80;If you had to choose, would you sacrifice your current job satisfaction for future growth?;Yes, if it contributes to my long-term career development and potential future satisfaction.;No, my current happiness and satisfaction in my role are most important to me.;Unmapped;G1;Long-term orientation. G2.
r3_81;What is your outlook regarding the responsibility and tasks distribution among the team members?;Distribution of tasks should be decided collectively after a discussion among all the team members.;Tasks should be assigned by the team leader based on their understanding of everyone's skills and capabilities.;Deciding;G6;Collective discussion vs leader assigns
r3_82;When launching a technological innovation, how should the company communicate changes to its employees?;The company should encourage an open discussion so that everyone understands the reasons behind the changes.;The high-level management should make final decisions and inform the employees about the changes.;Deciding;G6;Open discussion vs management decides and informs
r3_83;How should conflicts be handled within a team focusing on technological innovation?;Conflicts should be addressed by building consensus, appeasing all parties involved and seeking harmonious collective decision-making.;Conflicts should be viewed as a normal part of the innovative process, with the strongest idea prevailing.;Disagreeing;direct;Conflict as harmony threat vs conflict as normal. 'Collective decision-making' wording touches Deciding but conflict tolerance is the axis.
r3_84;How do you feel about the idea of changing jobs or shifting careers frequently?;I view changing jobs or shifting careers frequently as an opportunity for self-development and higher achievements.;I believe sticking with the same job or career aids in maintaining harmony and tradition in the workplace.;Unmapped;G1;Attitude to change + job security. G2 names job security explicitly.
r3_85;What characteristic makes a leader more effective in a work environment?;Quick decision-making abilities that provide immediate solutions to problems.;Long-term strategic thinking that focuses on the future sustainability of the team and organization.;Unmapped;G1;Short-term vs long-term orientation. G2.
r3_86;What's emphasized more in your workplace's leadership style?;The leadership emphasizes on consensus, shared responsibilities, and team harmony.;The leadership stresses on decisiveness, individual responsibility, and achievement-oriented objectives.;Unmapped;G1;Consensus pole tempts Deciding, but the contrast pole is individual responsibility/achievement, not top-down authority. Confounded.
r3_87;In a professional healthcare setting, what should be the primary focus?;On fostering an environment of caring and intimacy, focusing on patient relationships and their lived experiences.;On achieving the best results and advancements in health technologies to combat diseases independently.;Unmapped;G1;Humane orientation vs performance orientation.
r3_88;How would you approach a project with a distant deadline at work?;I would plan ahead, organize tasks strategically, focusing on perfecting the end product even if it requires more time and effort.;I would prioritize tasks based on their urgency and address them one by one, prioritizing immediate progress over long-term perfection.;Unmapped;G1;G2, hardest call: BOTH poles are monochronic ('one by one', 'plan ahead'). The real contrast is long-term perfection vs immediate progress, so no Scheduling axis.
r3_89;How would you describe your acceptance of authority in your job and deference to your manager's decisions?;In my job, the authority should not be concentrated in one hand, and decisions should be open for discussion and input.;In my job, it is accepted that the manager has full authority and we should comply with their decisions.;Leading;G6;Acceptance of authority/deference dominant
r3_90;What's your stand on investing in education or skills training for your future career?;I prefer focusing more on gaining practical experience in my current role than spending time on learning new skills or education.;I believe that continuous learning and skill enhancement are significant for my long-term career growth.;Unmapped;G1;Long-term orientation. G2.
