row_id;question;pole_1;pole_2;guille;guille_rule;guille_notes;blanca;blanca_rule;blanca_notes;final_dimension;;;;;;;;;;rule_applied;adjudication_notes
r3_54;When visiting an art exhibition, how should decision making about the organization of artwork be done?;The curator should decide the arrangement as they have the expertise and understanding of the intended message.;The decisions should be community-driven, with visitors' suggestions and preferences taken into consideration.;Unmapped;G1;;Deciding;G6;Expert/curator decides vs community-driven decision. Leading secondary.;Deciding;;;;;;;;;;;
r3_61;How are discussions about future plans, such as college or career choices, handled in your family?;Parents encourage children to express their career interests and aspirations as part of the decision-making process.;Parents tend to make these important decisions believing that they know what's best for their children.;Unmapped;G1;;Deciding;G6;Authority decides alone vs those affected participate;Unmapped;;;;;;;;;;;
r3_82;When launching a technological innovation, how should the company communicate changes to its employees?;The company should encourage an open discussion so that everyone understands the reasons behind the changes.;The high-level management should make final decisions and inform the employees about the changes.;Unmapped;G1;;Deciding;G6;Open discussion vs management decides and informs;Deciding;;;;;;;;;;;
r3_22;How should conflicts be resolved in the workplace?;Conflicts should be viewed as competition and should be resolved by those involved through direct confrontation.;Conflicts should be viewed as disturbances to group harmony and should be resolved collectively, ensuring minimal disruption to the group.;Unmapped;G1;;Disagreeing;direct;Confrontation vs harmony. Collective-resolution wording touches Deciding but conflict tolerance is the axis.;Disagreeing;;;;;;;;;;;
r3_83;How should conflicts be handled within a team focusing on technological innovation?;Conflicts should be addressed by building consensus, appeasing all parties involved and seeking harmonious collective decision-making.;Conflicts should be viewed as a normal part of the innovative process, with the strongest idea prevailing.;Unmapped;G1;;Disagreeing;direct;Conflict as harmony threat vs conflict as normal. 'Collective decision-making' wording touches Deciding but conflict tolerance is the axis.;Unmapped;;;;;;;;;;;
r3_28;How should rewards for successful technological innovation be distributed in the organization?;Leadership should primarily receive the credit as they guide the overall strategy and implementation.;Everyone involved should share the credit, regardless of their hierarchical position.;Unmapped;G1;;Leading;direct;Credit allocated by hierarchical position = power distance.;Unmapped;;;;;;;;;;;
r3_31;How do you feel when an established traditional arts company decides to innovate their art form significantly?;I would support it unconditionally as their status in the community is a guarantee of quality.;I would be cautious and critique the changes, believing that everyone's opinion matters in preserving the authenticity of traditional arts.;Unmapped;G1;;Leading;direct;Deference to elite status. Confounded: pole 2 also carries attitude to innovation (G1).;Leading;;;;;;;;;;;
r3_29;When thinking about career advancement, what is your stance on networking and socializing outside of working hours?;Informal networking and socializing are key strategies for building relationships, exploring new ideas, and furthering career opportunities.;Networking should be focused primarily within working hours to maintain a strict separation between the personal life and professional responsibilities.;Unmapped;G1;;Trusting;direct;Relationship-based trust built outside work hours vs strict task-based separation. Borderline: work-life boundary component.;Unmapped;;;;;;;;;;;
r3_33;How do you imagine the ideal office environment regarding interpersonal relationships and career advancement?;An office where employees are encouraged to socialize, express themselves freely and engage in enjoyable activities facilitates creativity and productivity.;An environment that encourages formal relations and limit interruptions enable maximum focus on immediate tasks and work-related issues.;Unmapped;G1;;Trusting;direct;Social vs formal task-only relations. 'Limit interruptions' flirts with Scheduling but the axis is task vs relationship.;Trusting;;;;;;;;;;;
r3_41;Should a company promote and facilitate social interactions among employees via technology (E.g. social media platforms, team-building software) or prioritize task efficiency?;Promote social interactions, it improves interpersonal relationships and creates a harmonious environment.;Prioritize task efficiency, socializing should be spontaneous, not facilitated by the company.;Unmapped;G1;;Trusting;direct;Company-facilitated relationships vs task efficiency. Borderline;Unmapped;;;;;;;;;;;
r3_49;What would be your priority when assigning roles for the festival organization, if you are in the logistics business?;Designating roles based on building relationships and effective cooperation.;Appointing individuals based on their ability to deliver results and tackle challenges effectively.;Unmapped;G1;;Trusting;direct;Roles assigned on relationships vs on ability to deliver = relationship- vs task-based. Borderline with performance orientation.;Trusting;;;;;;;;;;;
r3_71;What are your thoughts on informal meetings or team huddles during work hours?;Informal meetings can be refreshing and beneficial as they allow room for open communication and camaraderie.;Work hours should be strictly dedicated to formal work activities. Informal meetings can be a distraction.;Unmapped;G1;;Trusting;direct;Informal camaraderie vs formal task-only work. 'Distraction' wording flirts with Scheduling but the axis is task vs relationship.;Unmapped;;;;;;;;;;;
